,Ville,Secteur,Type,Surface habitable m²,Surface totale m²,Âge du bien,Salons,Chambres,Salle de bain,Garage,Jardin,Piscine,Balcon,Prix / m²,Prix
183,Agadir,Tilila,Appartements,110,110,Neuf,1,4,2,Non,Non,Non,Non,6818.18,750000.0
184,Agadir,Tilila,Appartements,112,112,Neuf,1,3,2,Non,Non,Non,Oui,6964.29,780000.0
185,Agadir,Tilila,Maisons et villas,112,112,6-10 ans,3,5,4,Non,Non,Non,Non,17857.14,2000000.0
186,Agadir,Tilila,Maisons et villas,110,200,1-5 ans,3,4,3,Oui,Oui,Non,Oui,12500.0,2500000.0
187,Agadir,Tilila,Maisons et villas,214,214,1-5 ans,3,4,3,Non,Non,Non,Non,11682.24,2500000.0
188,Agadir,Tilila,Maisons et villas,240,240,1-5 ans,3,4,3,Oui,Oui,Non,Oui,10833.33,2600000.0
189,Agadir,Tilila,Maisons et villas,220,330,6-10 ans,3,4,3,Oui,Non,Non,Oui,6363.64,2100000.0
190,Casablanca,2 mars,Maisons et villas,65,65,11-20 ans,1,1,1,Non,Non,Non,Non,46153.85,3000000.0
191,Casablanca,2 mars,Appartements,110,111,11-20 ans,2,3,2,Non,Non,Non,Non,13963.96,1550000.0
192,Casablanca,2 mars,Appartements,219,209,11-20 ans,2,4,2,Non,Non,Non,Oui,11961.72,2500000.0
193,Casablanca,2 mars,Appartements,85,85,Neuf,2,3,2,Non,Non,Non,Oui,57641.18,4899500.0
194,Casablanca,2 mars,Appartements,130,140,1-5 ans,2,2,3,Non,Non,Non,Non,2000.0,280000.0
195,Casablanca,2 mars,Appartements,146,146,21+ ans,1,2,2,Non,Non,Non,Oui,13013.7,1900000.0
196,Casablanca,2 mars,Appartements,148,148,21+ ans,2,3,2,Non,Non,Non,Oui,15202.7,2250000.0
197,Casablanca,2 mars,Maisons et villas,320,160,21+ ans,1,6,2,Oui,Oui,Non,Oui,18437.5,2950000.0
198,Casablanca,2 mars,Maisons et villas,160,160,11-20 ans,2,4,3,Oui,Non,Non,Oui,15000.0,2400000.0
199,Casablanca,2 mars,Maisons et villas,180,182,21+ ans,2,2,2,Oui,Non,Non,Oui,3076.92,560000.0
200,Casablanca,2 mars,Maisons et villas,200,200,11-20 ans,3,4,3,Oui,Non,Non,Oui,17000.0,3400000.0
201,Casablanca,2 mars,Maisons et villas,200,200,21+ ans,2,6,3,Oui,Oui,Non,Non,17500.0,3500000.0
202,Casablanca,2 mars,Appartements,219,209,11-20 ans,2,4,2,Non,Non,Non,Oui,11961.72,2500000.0
203,Casablanca,2 mars,Maisons et villas,216,216,21+ ans,5,5,2,Non,Non,Non,Non,12037.04,2600000.0
204,Casablanca,2 mars,Maisons et villas,250,250,6-10 ans,3,4,4,Oui,Oui,Non,Oui,20000.0,5000000.0
205,Casablanca,2 mars,Maisons et villas,260,260,11-20 ans,3,4,4,Oui,Oui,Non,Oui,17692.31,4600000.0
206,Casablanca,2 mars,Maisons et villas,285,285,11-20 ans,3,4,4,Oui,Oui,Non,Oui,14736.84,4200000.0
207,Casablanca,2 mars,Maisons et villas,100,300,21+ ans,4,5,5,Oui,Non,Non,Non,10000.0,3000000.0
208,Casablanca,2 mars,Maisons et villas,100,400,11-20 ans,2,5,3,Non,Non,Non,Non,7000.0,2800000.0
209,Casablanca,2 mars,Maisons et villas,240,420,6-10 ans,2,4,2,Oui,Non,Non,Oui,2333.33,980000.0
210,Casablanca,2 mars,Maisons et villas,462,462,11-20 ans,3,5,4,Oui,Oui,Non,Oui,9307.36,4300000.0
211,Casablanca,2 mars,Maisons et villas,600,473,21+ ans,5,8,4,Oui,Oui,Non,Oui,17970.4,8500000.0
212,Casablanca,2 mars,Maisons et villas,484,645,6-10 ans,3,4,3,Oui,Oui,Oui,Oui,9689.92,6250000.0
213,Casablanca,2 mars,Maisons et villas,999,650,21+ ans,4,5,6,Non,Non,Non,Non,17692.31,11500000.0
214,Casablanca,2 mars,Maisons et villas,769,769,11-20 ans,2,6,3,Oui,Oui,Non,Oui,390.12,300000.0
215,Casablanca,Aïn Borja,Appartements,73,73,11-20 ans,1,2,1,Non,Non,Non,Non,8904.11,650000.0
216,Casablanca,Aïn Borja,Appartements,79,80,6-10 ans,1,3,2,Non,Non,Non,Oui,10000.0,800000.0
217,Casablanca,Aïn Borja,Appartements,91,91,11-20 ans,1,3,1,Non,Non,Non,Non,7692.31,700000.0
218,Casablanca,Aïn Borja,Appartements,75,92,6-10 ans,1,2,1,Non,Non,Non,Non,8913.04,820000.0
219,Casablanca,Aïn Borja,Appartements,92,92,11-20 ans,2,2,1,Non,Non,Non,Non,10543.48,970000.0
220,Casablanca,Aïn Borja,Appartements,92,92,11-20 ans,1,2,1,Non,Non,Non,Oui,9239.13,850000.0
221,Casablanca,Aïn Borja,Maisons et villas,96,100,21+ ans,1,2,3,Oui,Non,Non,Non,43000.0,4300000.0
222,Casablanca,Aïn Borja,Appartements,102,102,11-20 ans,1,3,2,Non,Non,Non,Non,9607.84,980000.0
223,Casablanca,Aïn Borja,Appartements,100,110,6-10 ans,2,3,2,Non,Non,Non,Non,9000.0,990000.0
224,Casablanca,Aïn Borja,Appartements,114,114,1-5 ans,1,3,2,Non,Non,Non,Oui,8771.93,1000000.0
225,Casablanca,Aïn Borja,Appartements,114,114,21+ ans,1,2,1,Non,Non,Non,Non,7456.14,850000.0
226,Casablanca,Aïn Borja,Appartements,126,126,21+ ans,2,2,2,Non,Non,Non,Non,7142.86,900000.0
227,Casablanca,Aïn Borja,Maisons et villas,160,160,11-20 ans,4,8,5,Oui,Non,Non,Oui,22500.0,3600000.0
228,Casablanca,Aïn Borja,Maisons et villas,175,175,21+ ans,1,2,3,Non,Non,Non,Non,25714.29,4500000.0
229,Casablanca,Aïn Borja,Maisons et villas,200,200,21+ ans,1,3,1,Non,Non,Non,Non,12500.0,2500000.0
230,Casablanca,Aïn Borja,Maisons et villas,200,286,21+ ans,1,2,3,Oui,Oui,Non,Non,22000.0,6292000.0
231,Casablanca,Aïn Borja,Maisons et villas,140,289,21+ ans,2,5,2,Non,Oui,Non,Non,6228.37,1800000.0
232,Casablanca,Aïn Borja,Maisons et villas,380,380,21+ ans,3,6,3,Oui,Non,Non,Non,10394.74,3950000.0
233,Casablanca,Aïn Chock,Appartements,50,50,1-5 ans,1,2,1,Non,Non,Non,Oui,6600.0,330000.0
234,Casablanca,Aïn Chock,Maisons et villas,50,50,21+ ans,2,2,1,Non,Non,Non,Non,10000.0,500000.0
235,Casablanca,Aïn Chock,Maisons et villas,224,56,21+ ans,2,8,3,Oui,Non,Non,Non,25000.0,1400000.0
236,Casablanca,Aïn Chock,Maisons et villas,280,58,11-20 ans,2,10+,3,Non,Non,Non,Non,27068.97,1570000.0
237,Casablanca,Aïn Chock,Appartements,58,58,11-20 ans,1,2,1,Non,Non,Non,Non,10344.83,600000.0
238,Casablanca,Aïn Chock,Maisons et villas,240,60,11-20 ans,3,5,3,Oui,Non,Non,Non,32500.0,1950000.0
239,Casablanca,Aïn Chock,Maisons et villas,70,60,6-10 ans,2,4,3,Oui,Non,Non,Non,28333.33,1700000.0
240,Casablanca,Aïn Chock,Appartements,60,60,11-20 ans,1,2,1,Non,Non,Non,Non,11333.33,680000.0
241,Casablanca,Aïn Chock,Appartements,56,60,11-20 ans,1,2,1,Non,Non,Non,Oui,7500.0,450000.0
242,Casablanca,Aïn Chock,Maisons et villas,60,60,21+ ans,2,4,2,Oui,Non,Non,Non,30000.0,1800000.0
243,Casablanca,Aïn Chock,Appartements,61,61,11-20 ans,1,2,1,Non,Non,Non,Non,11475.41,700000.0
244,Casablanca,Aïn Chock,Maisons et villas,63,63,6-10 ans,3,6,4,Oui,Oui,Non,Non,26984.13,1700000.0
